script,family,public_status,required_inputs_or_services,expected_outputs,summary
build_search_robustness.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",build_search_robustness.py — canonical-landing builder for the 'search_robustness' key.
build_second_backbone.py,derived-data builder,requires non-public raw artifacts,"optional raw result forests, benchmark caches, or derived public tables depending on script","derived tables/JSON under data, reports, or paper_rebuild",POST-JUDGE BUILD — does the headline REPLICATE on the gpt-4.1 backbone?
c0_prompt_sensitivity.py,diagnostics/provenance,historical analysis helper,optional raw/derived artifacts depending on script,local audit or derived summary,§6.8 prompt-sensitivity ablation (V7 reviewer Q1).
c0_url_index.py,diagnostics/provenance,historical analysis helper,optional raw/derived artifacts depending on script,local audit or derived summary,Build a URL→content index from the bing_cache + tavily_cache so the C0
check_api.py,api diagnostics,prefer public CLI wrapper,OpenAI/Azure credentials for live checks; no local model downloads,prints provider/tool health,Validate API connectivity for all LLM models.
compile_paper_pdf.py,paper assembly,historical analysis helper,paper source and TeX/pandoc-era tooling; prefer deep-research paper rebuild paper-a,generated manuscript artifacts,"Compile paper.md (+ abstract, contributions, appendices) into a single PDF."
compile_paper_pdf_v2.py,paper assembly,historical analysis helper,paper source and TeX/pandoc-era tooling; prefer deep-research paper rebuild paper-a,generated manuscript artifacts,Compile paper.md + bibliography → PDF with numbered citations and References section.
complete_bestofn.sh,orchestration shell,optional non-default workflow,local shell environment and optional raw outputs,local artifacts/results,"Wait for the v4-v8 (and any further v9-v11) P0 judging to finish, then rebuild dataframes"
contamination_regex_gate.py,diagnostics/provenance,historical analysis helper,optional raw/derived artifacts depending on script,local audit or derived summary,E6 STC-AUDIT — STEP 2: deterministic URL/domain regex contamination gate.
download_benchmarks.py,external assets,optional external download,internet access and upstream benchmark-license review,local benchmark cache/data files,Download external benchmark datasets and normalise them into our cache format.
download_models.py,external assets,optional external download,internet access and model-license review; not required for API-only public reproduction,local model/download cache,Download local models for P9/P10 patterns.
e0_topup_missing_cells.py,miscellaneous provenance,historical analysis helper,inspect script header before direct use,local artifact or console output,E0: Per-pattern completion top-up.
e10_a_clean_followon.sh,orchestration shell,optional non-default workflow,local shell environment and optional raw outputs,local artifacts/results,[ -f venv/bin/activate ] && source venv/bin/activate
e10_noise_rl_readiness.py,training/local model,optional GPU/local-model workflow,"optional training stack, local model weights, GPU recommended; not shipped by public release",local checkpoints/artifacts,E10 noise-RL READINESS NOTE + gate-checker (NOT runnable now; Track NOTNOW).
e10_prereg_split.py,miscellaneous provenance,historical analysis helper,inspect script header before direct use,local artifact or console output,E10 noise-RL — PRE-REGISTER the train/eval split (run BEFORE any GRPO run).
finetune_dr_judge.py,training/local model,optional GPU/local-model workflow,"optional training stack, local model weights, GPU recommended; not shipped by public release",local checkpoints/artifacts,E7 step 2: QLoRA fine-tune Qwen2.5-7B-Instruct → DR-Judge-7B.
freeze_vintage_sources.py,diagnostics/provenance,historical analysis helper,optional raw/derived artifacts depending on script,local audit or derived summary,RETRIEVE-AND-FREEZE — build the frozen-source corpus for the frozen_vintage experiment.
frozen_defence_common.py,miscellaneous provenance,historical analysis helper,inspect script header before direct use,local artifact or console output,Shared machinery for the THREE frozen-evidence defensive experiments.
frozen_vintage_deconfound.sh,orchestration shell,optional non-default workflow,local shell environment and optional raw outputs,local artifacts/results,Frozen-vintage decode-backend de-confound: regenerate p9 + p14 via GGUF (so all 4 arms
frozen_vintage_recovery.sh,orchestration shell,optional non-default workflow,local shell environment and optional raw outputs,local artifacts/results,"Recovery: finish p17 (14B GGUF) + p13 (8B GGUF, OOM workaround) on the accepted 89-query"
g2_completion_chain.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,"G2 self-driving finish: wait for the (now hang-proof) gen process to EXIT, then"
generate_final_report_v2.py,paper/report generation,historical analysis helper,historical intermediate reports; not default public path,local report drafts,Generate the final NeurIPS-format research report from evaluation results.
gpu_sanity_check.py,diagnostics,optional GPU/local-model workflow,CUDA/GPU stack; not required for public API reproduction,console diagnostics,GPU sanity checks before local 7B training/evaluation.
judge_b2_incremental.sh,orchestration shell,optional non-default workflow,local shell environment and optional raw outputs,local artifacts/results,"Incrementally GPT-5.2-judge the B2 7B reports (base_p1_7b, base_p4_7b) as they generate,"
judge_oracle_finish.sh,orchestration shell,optional non-default workflow,local shell environment and optional raw outputs,local artifacts/results,"Finisher: generation is complete (270/270), so just drain the GPT-5.2 judge"
judge_oracle_loop.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,Autonomous GPT-5.2 judging loop for the oracle Tier-1 arm.
judge_tier1_outputs.sh,orchestration shell,optional non-default workflow,local shell environment and optional raw outputs,local artifacts/results,Judge the Tier-1 outputs (Protocol A Tavily wave + P11 ReAct baseline)
launch_bestofn_p0.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,Extend the best-of-N(P0) compute-matched control: generate 8 more independent P0
launch_e5_variance.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,Driver: E5 run-to-run variance experiment.
launch_e5_variance_no_local.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,E5 variance launcher — GPT-4o patterns only (skips P10 because P12 RL holds the GPU).
launch_oracle_t1.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,Wave 0 — Oracle Tier-1 (pooled-existing frozen corpus) generation.
launch_protocol_a_tavily.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,Driver: run Protocol A Tavily wave across the 6 high-impact patterns
make_v9_figures.py,figure/table support,historical analysis helper,derived analysis tables and canonical paper numbers,figures or tables,Generate the eight new V9 figures for paper_v9.md.
phase1_judge_validation.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,Phase 1: LLM-Judge Validation.
phase2_fixes.py,paper analysis pipeline,historical analysis helper,historical intermediate analysis inputs; public paper-facing path is deep-research paper rebuild,local reports/figures/tables,Phase 2 fixes from validator critique.
phase2_statistical_analysis.py,paper analysis pipeline,historical analysis helper,historical intermediate analysis inputs; public paper-facing path is deep-research paper rebuild,local reports/figures/tables,Phase 2 Hierarchical Statistical Analysis of 11 Deep-Research Patterns.
phase3_figures.py,paper analysis pipeline,historical analysis helper,historical intermediate analysis inputs; public paper-facing path is deep-research paper rebuild,local reports/figures/tables,Phase 3: publication-grade figures.
phase4_case_studies.py,paper analysis pipeline,historical analysis helper,historical intermediate analysis inputs; public paper-facing path is deep-research paper rebuild,local reports/figures/tables,Phase 4.2: Programmatic case study selection — 5 anchor queries.
phase4_failure_taxonomy.py,paper analysis pipeline,historical analysis helper,historical intermediate analysis inputs; public paper-facing path is deep-research paper rebuild,local reports/figures/tables,Phase 4.1: Failure-mode taxonomy + per-judge verdict n-gram mining.
phase5_revisions.py,paper analysis pipeline,historical analysis helper,historical intermediate analysis inputs; public paper-facing path is deep-research paper rebuild,local reports/figures/tables,"Phase 5 revisions: TOST within-cluster, weight sensitivity, citation confound, MDE, judge concordance, P9 floor."
phase6a_corrections.py,paper analysis pipeline,historical analysis helper,historical intermediate analysis inputs; public paper-facing path is deep-research paper rebuild,local reports/figures/tables,Phase 6a: compute the CORRECT numbers identified by the methodology audit.
phase7a_citation_extraction.py,paper analysis pipeline,historical analysis helper,historical intermediate analysis inputs; public paper-facing path is deep-research paper rebuild,local reports/figures/tables,Phase 7a: Post-hoc citation verification.
phase8a_human_calibration_pack.py,human-evaluation support,requires non-public raw artifacts,non-public evaluator packets/labels when rebuilding raw human-calibration artifacts,anonymized summaries or local packets,Phase 8a: prepare a 30-report human-calibration annotation pack.
prep_dr_judge_data.py,local judge/probe,optional GPU/local-model workflow,optional local DR-Judge/model stack or derived validation artifacts; not the default public judge path,local validation or derived judge summaries,E7 step 1: Prepare DR-Judge-7B training data from df_verdicts + reports.
prepare_human_eval.py,human-evaluation support,requires non-public raw artifacts,non-public evaluator packets/labels when rebuilding raw human-calibration artifacts,anonymized summaries or local packets,Prepare human evaluation materials.
publish_huggingface.py,release publishing,supported public helper,HF_TOKEN environment variable or existing Hugging Face login for upload; none for dry-run,audited Hugging Face upload folder or dataset repo update,Prepare and optionally upload the public supplement to a Hugging Face dataset repo.
protocol_a_paired_bootstrap.py,diagnostics/provenance,historical analysis helper,optional raw/derived artifacts depending on script,local audit or derived summary,Reproducible paired-bootstrap CIs and p-values for the §6.2.1 Bing↔Tavily
reconcile_exclusions.py,diagnostics/provenance,historical analysis helper,optional raw/derived artifacts depending on script,local audit or derived summary,reconcile_exclusions.py — Audit CG-8 exclusion reconciliation.
rescore_benchmarks_with_judge.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,Re-score all saved benchmark reports using LLM-as-judge (GPT-5.2).
rescore_with_judge.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,Re-score all saved research reports using LLM-as-judge (GPT-5.2).
run_all_experiments.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,Run all research experiments sequentially: base patterns + ablation sweeps.
run_all_sequential.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,Run ALL patterns × ALL test sets SEQUENTIALLY. Saves after every run.
run_benchmarks.py,benchmark runner,optional external download,downloaded benchmark data and provider/API or local model backend,local benchmark result summaries,CLI: Run patterns against standard benchmarks.
run_c0_verifier.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,E9: Run C0 citation-grounded verification across all base + protocol_a reports.
run_comparison.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,CLI: Run all patterns against all test queries.
run_contamination_classifier.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,"E6 STC-AUDIT — STEP 3: GPT-4o snippet contamination CLASSIFIER (a transform tool, NOT a judge)."
run_counterfactual_override.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,FROZEN-EVIDENCE DEFENCE 2 — COUNTERFACTUAL / OVERRIDE-RATE.
run_detector_panel.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,E13' LOCAL DETECTOR PANEL — constructed-ground-truth defect DETECTORS (NOT judges).
run_disentanglement_pilot.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,Run retrieval-vs-synthesis disentanglement pilot cells.
run_distractor_dose.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,FROZEN-EVIDENCE DEFENCE 3 — DISTRACTOR-DOSE.
run_e10_eval.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,"E10 noise-RL — HELD-OUT eval generation (per adapter), GPU-only, ZERO paid API."
run_e10_eval_chain.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,[ -f venv/bin/activate ] && source venv/bin/activate
run_e11_vtr.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,E11 P14-VTR — Verify-then-refine at matched budget (PTU generation harness).
run_e12_extval.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,E12 EXTVAL — external human-benchmark validation harness (CORPUS-SAFE).
run_e14_oracle_entail.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,E14: Claim-level entailment over the ORACLE reports (retrieval-vs-utilisation arm).
run_e3_judge_retest.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,E3: Judge non-determinism re-test.
run_e5_oracle_dose.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,E5 ORACLE-DOSE — graded retrieval-quality dose-response harness.
run_e6_filtered_rerank.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,E6: Placeholder-filtered cluster re-ranking — pure analysis.
run_e7_selector.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,E7 — Realizable best-of-N SELECTORS at matched spend (CPU-only analysis on EXISTING data).
run_e8_vintage_14b_gen.py,experiment runner,optional GPU/local-model workflow,optional local-model/GPU stack or external benchmark assets,local generated reports/results,E8 / E9 — generate the Qwen2.5-14B vintage/capacity arm on the FROZEN P9 scaffold.
run_e9_scale_curve.py,experiment runner,optional GPU/local-model workflow,optional local-model/GPU stack or external benchmark assets,local generated reports/results,E9 SCALE-CURVE — orchestration returns vs backbone capability (generation harness).
run_eval_v2.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,Master evaluation script v2.
run_experiments.sh,orchestration shell,optional non-default workflow,local shell environment and optional raw outputs,local artifacts/results,Deep Research Experiment Campaign Runner
run_frozen_vintage.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,REGENERATE-ALL-ARMS — frozen-source vintage curve generation runner.
run_frozen_vintage_chain.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,[ -f venv/bin/activate ] && source venv/bin/activate
run_full_evaluation.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,Comprehensive evaluation: all patterns × all queries × all benchmarks.
run_g2_trajectory_scoring.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,G2: Score the 5 trace-instrumented base patterns on the 4-dim process
run_gpt41_backbone.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,GPT-4.1 SECOND-BACKBONE ROBUSTNESS ARM — does the headline replicate?
run_gpt41_fullpanel.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,GPT-4.1 FULL-PANEL second-backbone replication (experiment C1).
run_gpt4omini_fullpanel.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,GPT-4o-mini FULL-PANEL cheap-backbone generation (experiment C2).
run_gpt52_judge.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,Run GPT-5.2 LLM-as-judge evaluation on all experiment reports.
run_gpt52_judge_e4.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,"E4 CITE-CAUSAL — Step 4: re-judge the citation-perturbed reports (GPT-5.2 PRIMARY,"
run_gpt52_judge_namespaced.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,"Run GPT-5.2 LLM-as-judge evaluation — CORPUS-SAFE, judge-NAMESPACED variant."
run_gpu_experiments.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,run_gpu_experiments.sh — single-GPU experiment queue for E8 / E11 / E10
run_gpu_queue.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,Self-driving GPU queue — keeps the RTX 5080 saturated with the E8 vintage curve.
run_gpu_queue2.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,GPU queue #2 — chains behind the vintage queue so the RTX 5080 stays saturated.
run_gpu_queue3.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,GPU queue #3 — E14: the missing P9/P10 ORACLE cells (local 7B models on the ideal-source corpus).
run_gpu_queue4.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,GPU queue #4 — E13' local DETECTOR panel. Chains after the oracle queue (queue3) AND the
run_gpu_queue_all.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,"run_gpu_queue_all.sh — MASTER serial GPU queue (single RTX 5080, 16 GB)"
run_gpu_queue_local.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,Queue + launch the full LOCAL 7B benchmark generation run on the RTX 5080.
run_healthbench_judge.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,HealthBench GPT-5.2 judge-validity harness — physician-verdict backbone (Paper B).
run_local_benchmark_gen.py,experiment runner,optional GPU/local-model workflow,optional local-model/GPU stack or external benchmark assets,local generated reports/results,Generate our two LOCAL 7B research systems' reports on the 5 external benchmark
run_openai_panel_judge_fullcorpus.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,T1_within_openai_neff — FULL-CORPUS gpt-4.1 / gpt-4o judge runner (JUDGE endpoint only).
run_oracle_judge_chain.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,Judges the E14 oracle cells (oracle_t1_p9 + oracle_t1_p10) with GPT-5.2 once E14 generation
run_pattern.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,CLI: Run a single research pattern against a query.
run_phase2_analyses.sh,orchestration shell,optional non-default workflow,local shell environment and optional raw outputs,local artifacts/results,"run_phase2_analyses.sh — Paper-A ""Bounded Returns"" Phase-2 analysis queue"
run_ptu_judge_loop.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,"GPT-5.2 judge loop — judges the new GPU-generated reports with the REAL judge (GPT-5.2), the"
run_ptu_queue_all.sh,orchestration shell,optional GPU/local-model workflow,"local shell environment, optional GPUs or raw outputs; not default public path",local artifacts/results,run_ptu_queue_all.sh — PTU / cloud-Azure serial queue (parallel to the GPU queue)
run_synth_ablation.py,experiment runner,optional non-default workflow,provider API keys and local artifact directories; current API outputs are not historical equality claims,local generated reports/results,FROZEN-EVIDENCE DEFENCE 1 — SYNTHESIS-ARCHITECTURE ABLATION.
select_eval_queries.py,data selection,historical analysis helper,public query manifests or optional benchmark sources,query subset manifests,Select evaluation queries and save a reproducible manifest.
stage_and_judge_drbrace.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,DRB-RACE staging + judging harness — CORPUS-SAFE.
stage_and_judge_local_benchmark.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,Local-7B-benchmark staging + GPT-5.2 judging harness — CORPUS-SAFE.
stage_perturbed_for_gpt52.py,api judging/scoring,optional non-default workflow,"provider API keys plus generated/staged reports; public current judges use API calls, not local assistant sessions",local judge verdict JSON/summary artifacts,Stage the E13' perturbed reports into the per-pattern tree the namespaced GPT-5.2
tool_health_report.py,diagnostics,optional non-default workflow,provider keys only when live tool checks are enabled,health report under local artifacts/results,Tool-health scanner for deep-research generation logs.
train_e10_noise_rl.py,training/local model,optional GPU/local-model workflow,"optional training stack, local model weights, GPU recommended; not shipped by public release",local checkpoints/artifacts,E10 noise-RL — GRPO launcher (Paper 4). WRITE-ONLY at build time.
train_p12_rl.py,training/local model,optional GPU/local-model workflow,"optional training stack, local model weights, GPU recommended; not shipped by public release",local checkpoints/artifacts,E10: Train P12 — RL fine-tuned 7B agent using DR-Judge-7B as reward.
train_p12_rl_v2.py,training/local model,optional GPU/local-model workflow,"optional training stack, local model weights, GPU recommended; not shipped by public release",local checkpoints/artifacts,"E10 P12 — GRPO RL training, 16 GB-friendly variant (v2)."
validate_dr_judge.py,local judge/probe,optional GPU/local-model workflow,optional local DR-Judge/model stack or derived validation artifacts; not the default public judge path,local validation or derived judge summaries,Validate DR-Judge-7B against the held-out test split.
validate_dr_judge_subproc.py,local judge/probe,optional GPU/local-model workflow,optional local DR-Judge/model stack or derived validation artifacts; not the default public judge path,local validation or derived judge summaries,DR-Judge full validation via subprocess-batched inference.
verify_headline_numbers.py,validation,supported public helper,checked public reference files,console validation report,Verify headline paper numbers against released artifacts.
wire_healthbench_into_judge_vs_human.py,human-evaluation support,requires non-public raw artifacts,non-public evaluator packets/labels when rebuilding raw human-calibration artifacts,anonymized summaries or local packets,"wire_healthbench_into_judge_vs_human.py (item A4_healthbench, Track A)"
